"cust_id","recency","history_segment","history","mens","womens","zip_code","newbie","channel","segment","visit","conversion","spend","treatment"
1,6,"3) $200 - $350",329.08,1,1,"Rural",1,"Web","No E-Mail",0,0,0,0
2,9,"5) $500 - $750",675.83,1,0,"Rural",1,"Web","Mens E-Mail",0,0,0,1
3,9,"5) $500 - $750",675.07,1,1,"Rural",1,"Phone","Mens E-Mail",0,0,0,1
4,2,"2) $100 - $200",101.64,0,1,"Urban",0,"Web","Mens E-Mail",1,0,0,1
5,4,"3) $200 - $350",241.42,0,1,"Rural",1,"Multichannel","No E-Mail",0,0,0,0
7,5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
10,5,"6) $750 - $1,000",828.42,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1
11,9,"1) $0 - $100",29.99,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0
12,11,"2) $100 - $200",182.32,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
13,2,"2) $100 - $200",118.4,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,1
14,2,"1) $0 - $100",29.99,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
16,6,"2) $100 - $200",139.87,0,1,"Rural",1,"Web","Mens E-Mail",0,0,0,1
19,7,"4) $350 - $500",435.73,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
21,9,"3) $200 - $350",334.24,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1
22,6,"2) $100 - $200",128.01,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1
24,1,"5) $500 - $750",514.52,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
25,4,"6) $750 - $1,000",766.47,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
26,7,"5) $500 - $750",520.43,0,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
27,11,"3) $200 - $350",236.97,1,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
28,3,"1) $0 - $100",99.23,1,0,"Rural",0,"Web","Mens E-Mail",1,0,0,1
30,1,"1) $0 - $100",48.32,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
31,10,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
33,1,"5) $500 - $750",729.7,1,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
34,3,"3) $200 - $350",203.3,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
38,12,"2) $100 - $200",150.06,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
39,6,"1) $0 - $100",42.66,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
40,3,"5) $500 - $750",549.29,1,0,"Surburban",1,"Multichannel","No E-Mail",0,0,0,0
41,9,"5) $500 - $750",506.83,1,0,"Rural",1,"Multichannel","Mens E-Mail",0,0,0,1
46,11,"1) $0 - $100",53.81,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
47,9,"2) $100 - $200",154.15,0,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
48,2,"3) $200 - $350",278.8,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1
49,2,"4) $350 - $500",428.74,1,0,"Rural",0,"Phone","Mens E-Mail",0,0,0,1
50,11,"3) $200 - $350",228.09,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
51,1,"5) $500 - $750",640.58,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
53,7,"1) $0 - $100",84.49,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
54,7,"3) $200 - $350",235.14,0,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
55,2,"1) $0 - $100",29.99,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
56,7,"3) $200 - $350",272.32,1,0,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
57,2,"1) $0 - $100",95.33,0,1,"Surburban",0,"Web","No E-Mail",1,0,0,0
58,5,"4) $350 - $500",494.26,1,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
59,2,"6) $750 - $1,000",809.07,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
60,3,"2) $100 - $200",101.61,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0
61,8,"1) $0 - $100",52.64,0,1,"Surburban",1,"Web","No E-Mail",0,0,0,0
62,6,"4) $350 - $500",466.29,1,0,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
63,3,"2) $100 - $200",100.85,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
64,3,"7) $1,000 +",1397.57,1,0,"Surburban",1,"Multichannel","Mens E-Mail",0,0,0,1
65,2,"6) $750 - $1,000",770.58,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
66,3,"7) $1,000 +",1973.87,1,0,"Surburban",1,"Multichannel","No E-Mail",0,0,0,0
67,3,"2) $100 - $200",133.51,1,0,"Urban",0,"Web","Mens E-Mail",0,0,0,1
69,11,"2) $100 - $200",189.25,0,1,"Urban",1,"Phone","No E-Mail",0,0,0,0
70,8,"1) $0 - $100",66.14,1,0,"Surburban",1,"Phone","No E-Mail",0,0,0,0
71,11,"2) $100 - $200",146.04,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
72,12,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","No E-Mail",0,0,0,0
73,9,"7) $1,000 +",1172.42,1,1,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
74,5,"3) $200 - $350",244.34,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
75,9,"2) $100 - $200",151.01,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
78,1,"2) $100 - $200",117.27,0,1,"Rural",0,"Phone","Mens E-Mail",0,0,0,1
81,1,"2) $100 - $200",110.07,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1
82,2,"1) $0 - $100",29.99,0,1,"Urban",0,"Web","Mens E-Mail",0,0,0,1
83,11,"2) $100 - $200",160.04,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1
84,1,"4) $350 - $500",418.68,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
85,11,"3) $200 - $350",316.23,1,0,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
86,9,"3) $200 - $350",329.96,0,1,"Surburban",1,"Phone","No E-Mail",0,0,0,0
88,1,"5) $500 - $750",616.73,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
89,3,"3) $200 - $350",249.71,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
90,2,"1) $0 - $100",46.09,0,1,"Urban",0,"Web","No E-Mail",0,0,0,0
91,8,"1) $0 - $100",48.87,1,0,"Surburban",1,"Web","Mens E-Mail",0,0,0,1
92,4,"3) $200 - $350",270.24,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
93,9,"3) $200 - $350",228.8,1,0,"Surburban",0,"Multichannel","Mens E-Mail",1,0,0,1
96,3,"1) $0 - $100",29.99,1,0,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
97,2,"1) $0 - $100",29.99,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
98,7,"3) $200 - $350",229.53,1,0,"Surburban",0,"Web","Mens E-Mail",1,0,0,1
101,5,"1) $0 - $100",29.99,0,1,"Surburban",1,"Phone","Mens E-Mail",1,0,0,1
102,9,"3) $200 - $350",274.29,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
103,1,"3) $200 - $350",293.37,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
104,12,"1) $0 - $100",29.99,1,0,"Urban",1,"Phone","No E-Mail",0,0,0,0
106,1,"2) $100 - $200",142.4,0,1,"Surburban",0,"Phone","No E-Mail",0,0,0,0
107,1,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
108,12,"3) $200 - $350",284.54,1,1,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
110,4,"7) $1,000 +",1089.77,1,0,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
111,1,"6) $750 - $1,000",790.36,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
113,12,"3) $200 - $350",271.89,1,0,"Rural",0,"Web","Mens E-Mail",0,0,0,1
114,3,"1) $0 - $100",39.83,0,1,"Urban",1,"Phone","Mens E-Mail",1,0,0,1
115,5,"3) $200 - $350",269.99,1,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
116,4,"3) $200 - $350",292.61,1,0,"Surburban",0,"Multichannel","No E-Mail",0,0,0,0
117,6,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
118,9,"2) $100 - $200",116.3,1,0,"Rural",1,"Web","Mens E-Mail",1,0,0,1
119,5,"1) $0 - $100",29.99,1,0,"Surburban",0,"Web","No E-Mail",0,0,0,0
122,1,"5) $500 - $750",720.17,1,1,"Urban",1,"Phone","Mens E-Mail",0,0,0,1
123,4,"1) $0 - $100",69.08,0,1,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
124,1,"3) $200 - $350",301.19,1,0,"Surburban",1,"Web","No E-Mail",0,0,0,0
125,10,"3) $200 - $350",307.64,0,1,"Urban",0,"Multichannel","Mens E-Mail",0,0,0,1
126,7,"4) $350 - $500",481.56,1,0,"Surburban",0,"Web","Mens E-Mail",0,0,0,1
127,10,"1) $0 - $100",29.99,0,1,"Surburban",0,"Web","No E-Mail",0,0,0,0
128,5,"4) $350 - $500",425.1,1,0,"Rural",1,"Phone","Mens E-Mail",0,0,0,1
129,10,"1) $0 - $100",36.28,1,0,"Urban",1,"Web","No E-Mail",0,0,0,0
130,7,"1) $0 - $100",32.42,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
132,1,"5) $500 - $750",506.51,1,0,"Urban",1,"Multichannel","No E-Mail",0,0,0,0
133,8,"5) $500 - $750",575.62,1,1,"Urban",1,"Multichannel","Mens E-Mail",0,0,0,1
137,8,"2) $100 - $200",171.88,1,0,"Surburban",0,"Phone","No E-Mail",0,0,0,0
141,8,"3) $200 - $350",336.76,0,1,"Surburban",0,"Phone","Mens E-Mail",0,0,0,1
143,4,"1) $0 - $100",52.12,1,0,"Urban",0,"Phone","Mens E-Mail",0,0,0,1
144,7,"4) $350 - $500",406.7,0,1,"Surburban",1,"Phone","Mens E-Mail",0,0,0,1
146,1,"2) $100 - $200",181.98,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
147,5,"1) $0 - $100",29.99,0,1,"Rural",1,"Web","No E-Mail",0,0,0,0
149,6,"1) $0 - $100",29.99,0,1,"Urban",1,"Web","Mens E-Mail",0,0,0,1
